P,wt_e,D,wt_a
0.1,1.017239823,25.26934,1.025807701
0.2,1.083754,27.11888,1.100889756
0.3,1.119916813,28.22076,1.145620447
0.4,1.148415288,29.02831,1.178402861
0.5,1.16415111,29.627,1.20270656
1,1.214895765,31.82678,1.292006665
1.5,1.223060896,32.97768,1.338727245
2,1.214281763,33.81671,1.372787501
2.5,1.199887871,34.41189,1.396949059
3,1.172760513,34.79894,1.412661091
3.5,1.146619832,35.21029,1.429359799
4,1.117345165,35.54443,1.44292452
4.5,1.082208298,35.73417,1.450627042
5,1.047667641,35.9386,1.458925774
5.5,1.015230513,36.19485,1.469328035
6,0.983777805,36.36981,1.476430777
6.5,0.944516419,36.45795,1.48000878
7,0.912961725,36.63041,1.487009535
7.5,0.881175955,36.79717,1.493779216
8,0.845273491,36.86252,1.496432202
8.5,0.814172923,36.94063,1.499603145
9,0.782069143,37.09956,1.506054814
9.5,0.750654733,37.16994,1.508911915
10,0.719834734,37.14944,1.508079489
