NAME,N2_HEAT,SF6_HEAT,lN2l,lSF6l,RATIO
41,-11.13288125,-26.5618381,11.13288125,26.5618381,2.385890723
175,-11.23434621,-29.19226058,11.23434621,29.19226058,2.598483261
193,-11.17375786,-29.27196854,11.17375786,29.27196854,2.619706719
222,-13.17480797,-34.84712979,13.17480797,34.84712979,2.644981989
244,-10.54554763,-24.63938408,10.54554763,24.63938408,2.336472694
279,-11.88538603,-37.8903025,11.88538603,37.8903025,3.187974072
385,-10.06860386,-24.45761819,10.06860386,24.45761819,2.429097274
386,-10.08336117,-24.43673779,10.08336117,24.43673779,2.423471438
387,-11.3539522,-28.03970394,11.3539522,28.03970394,2.469598554
388,-10.07089692,-24.38243449,10.07089692,24.38243449,2.421078746
490,-10.14528074,-24.46576457,10.14528074,24.46576457,2.411541405
491,-10.15695001,-24.60494219,10.15695001,24.60494219,2.422473495
538,-14.15193662,-43.69400055,14.15193662,43.69400055,3.087492668
750,-11.15883136,-27.00231542,11.15883136,27.00231542,2.419815709
751,-11.00910711,-26.72209497,11.00910711,26.72209497,2.427271776
918,-11.21073692,-27.54084744,11.21073692,27.54084744,2.45664916
1149,-14.55665198,-45.33922403,14.55665198,45.33922403,3.114673903
1161,-12.12319834,-33.2855666,12.12319834,33.2855666,2.745609341
1540,-11.01027478,-28.95659858,11.01027478,28.95659858,2.629961482
1542,-13.47038145,-45.43189609,13.47038145,45.43189609,3.372725283
1689,-11.39665601,-32.56854441,11.39665601,32.56854441,2.857728125
1925,-11.81191774,-28.96747031,11.81191774,28.96747031,2.452393502
2147,-9.343521219,-21.33922655,9.343521219,21.33922655,2.283852741
2190,-13.39032403,-31.82135464,13.39032403,31.82135464,2.376443958
2193,-13.49673904,-25.8953402,13.49673904,25.8953402,1.9186368
2229,-15.95035717,-38.83738347,15.95035717,38.83738347,2.434891147
2231,-13.48676014,-37.73618162,13.48676014,37.73618162,2.798016813
2276,-11.2671608,-27.16510635,11.2671608,27.16510635,2.410998372
2277,-11.04104258,-28.30322586,11.04104258,28.30322586,2.563455911
2278,-13.02003775,-33.65959199,13.02003775,33.65959199,2.585214624
2279,-8.804710649,-22.13511619,8.804710649,22.13511619,2.514008361
2280,-9.412793524,-24.29674626,9.412793524,24.29674626,2.581247129
2305,-12.57011389,-33.50454024,12.57011389,33.50454024,2.665412623
2332,-9.300984094,-21.3015236,9.300984094,21.3015236,2.290244063
2419,-11.07490877,-32.33559947,11.07490877,32.33559947,2.919717005
2434,-13.38014889,-33.59294682,13.38014889,33.59294682,2.510655681
2452,-8.932735029,-20.6804654,8.932735029,20.6804654,2.315132525
2468,-9.652996781,-24.46271769,9.652996781,24.46271769,2.53420966
2471,-16.10074973,-37.43300667,16.10074973,37.43300667,2.324923205
2487,-13.92258015,-33.9997954,13.92258015,33.9997954,2.442061388
2489,-13.98249955,-34.08007792,13.98249955,34.08007792,2.437338031
2493,-12.57271463,-38.5071465,12.57271463,38.5071465,3.062755151
2514,-15.1273832,-45.81843898,15.1273832,45.81843898,3.028841034
2528,-9.393381721,-22.79068266,9.393381721,22.79068266,2.426248963
2529,-12.74239141,-29.27914191,12.74239141,29.27914191,2.297774489
2530,-10.55305587,-26.84265297,10.55305587,26.84265297,2.54359053
2531,-12.23840675,-24.89009957,12.23840675,24.89009957,2.033769598
2532,-11.02838118,-24.41317939,11.02838118,24.41317939,2.213668442
2533,-11.80520063,-26.22630727,11.80520063,26.22630727,2.221589289
2534,-10.52966906,-26.9689808,10.52966906,26.9689808,2.561237266
2535,-10.51335868,-27.08428584,10.51335868,27.08428584,2.576178238
2536,-10.54358529,-27.19173072,10.54358529,27.19173072,2.578983332
2550,-20.9734445,-65.67452386,20.9734445,65.67452386,3.13131798
2709,-10.3998693,-27.48392213,10.3998693,27.48392213,2.642718032
2715,-15.20913025,-39.62398978,15.20913025,39.62398978,2.60527651
2733,-9.501403433,-24.95576327,9.501403433,24.95576327,2.626534432
2751,-15.96617357,-39.00288648,15.96617357,39.00288648,2.44284495
2753,-11.04774339,-25.80928761,11.04774339,25.80928761,2.336159223
2764,-13.157815,-30.47409426,13.157815,30.47409426,2.316045199
2768,-11.53779856,-19.46744501,11.53779856,19.46744501,1.687275515
2769,-11.48018576,-22.48587498,11.48018576,22.48587498,1.958668218
2780,-9.830174084,-19.20880492,9.830174084,19.20880492,1.95406559
2781,-12.4993698,-23.40532097,12.4993698,23.40532097,1.872520083
2782,-9.364629568,-28.19239948,9.364629568,28.19239948,3.010519453
2783,-11.2480564,-27.0667646,11.2480564,27.0667646,2.406350363
2784,-14.01102614,-39.53652707,14.01102614,39.53652707,2.821815239
2816,-18.37172423,-30.8129717,18.37172423,30.8129717,1.677195418
2817,-18.36543709,-39.67074899,18.36543709,39.67074899,2.160076496
2818,-11.06760812,-40.42309246,11.06760812,40.42309246,3.652378366
2819,-12.48565906,-33.44606553,12.48565906,33.44606553,2.678758516
2820,-12.53829747,-32.88363908,12.53829747,32.88363908,2.62265584
2821,-14.16076368,-33.31706276,14.16076368,33.31706276,2.352773022
2822,-14.18706592,-46.34835923,14.18706592,46.34835923,3.266944659
2845,-10.5741224,-28.73420595,10.5741224,28.73420595,2.717408108
