NAME,N2_HEAT,SF6_HEAT
12,-16.91364394,-56.64034142
77,-11.65341639,-27.84609604
80,-17.1574125,-48.63253997
101,-11.96783335,-32.07239647
122,-13.8369483,-29.69795797
124,-14.18949648,-37.74028718
167,-10.70438775,-29.05986718
193,-11.17375786,-29.27196854
208,-11.08027705,-30.64053687
382,-12.99132482,-30.97882145
383,-12.98832779,-31.08403992
384,-13.58911924,-32.98068513
387,-11.3539522,-28.03970394
458,-11.31448216,-28.28025846
480,-13.59801858,-32.1483434
555,-10.68779938,-24.33772474
664,-13.36087762,-33.35043888
668,-13.02814146,-30.54113376
678,-11.27643503,-28.78115565
679,-11.14421754,-29.95713274
680,-11.42163559,-30.16301654
795,-13.12284179,-32.98502473
801,-13.04400329,-36.82303628
802,-13.9148051,-35.64030352
833,-15.84050276,-43.96955059
917,-18.72890984,-45.05710213
1161,-12.12319834,-33.2855666
1182,-16.3100486,-41.13979119
1217,-12.97126387,-30.55192718
1238,-11.8240401,-29.74136785
1326,-12.28672629,-31.72820376
1340,-13.712567,-36.7684668
1395,-11.50015276,-31.75346297
1426,-14.42928465,-38.46984739
1557,-13.32725707,-44.29738547
1600,-15.96430401,-37.01913226
1634,-13.42258773,-28.74367717
1659,-14.30554547,-35.17899917
1664,-14.31946322,-35.72049467
1677,-14.13803964,-34.62900898
1691,-17.62254425,-55.43205998
1701,-12.72687755,-30.20219424
1703,-13.65363707,-34.47625223
1706,-11.70779683,-32.04885379
1722,-15.74682924,-40.89030357
1739,-13.32232665,-34.51346079
1781,-12.55590296,-36.2555022
1854,-11.73177292,-30.66408159
1901,-12.61744678,-33.01719943
1929,-14.63092525,-38.72677776
1948,-12.92270186,-32.76825926
1954,-12.97614736,-32.44082216
1961,-15.98546558,-48.23071157
2064,-12.12291365,-29.81674171
2066,-16.27650162,-37.37590117
2153,-13.10637945,-33.12327506
2199,-12.0733881,-31.82480847
2234,-14.01035272,-34.27321159
2278,-13.02003775,-33.65959199
2282,-12.7895026,-35.39472752
2283,-12.87187116,-35.70810884
2284,-13.08649905,-36.41883735
2292,-11.60020709,-31.87717078
2297,-13.04545156,-34.22095461
2440,-17.78571352,-48.72455203
2457,-13.59682362,-32.86527286
2458,-13.52557572,-32.59519817
2459,-13.4861375,-32.34720583
2495,-11.77428554,-30.3299511
2510,-13.35408508,-35.76831394
2521,-13.63905012,-34.87000373
2839,-10.9951954,-25.47096537
2855,-12.28431512,-27.83119287
2860,-12.98386975,-32.57442458
2861,-10.41312193,-23.26654412
2866,-11.668461,-26.7034288
2872,-13.44248468,-44.48509566
2874,-13.06804971,-33.31394667
2877,-9.378750039,-20.6974302
2880,-9.759083807,-19.01195671
2883,-11.6120369,-19.88215138
2884,-12.240773,-24.92262625
2885,-10.52745613,-26.58185933
2887,-14.32754793,-46.06035917
2888,-11.65571839,-35.8503711
2889,-10.55502953,-33.43554625
2890,-13.64423272,-34.83229431
